comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
113,2,0,LZ,WS,NA,N,WS,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
113,2,0,WT,SM,11,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,344732.1429,9,6.00E+07
113,2,0,WT,WS,11,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,325000,22,146666666.7
114,0,2,LZ,SM,8,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,251875,88,586666666.7
114,0,2,LZ,WS,8,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,184553.5714,206,1373333333
114,0,2,WT,SM,NA,N,SM,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
114,0,2,WT,WS,NA,N,WS,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
115,1,1,LZ,SM,9,N,SM,N,N,1N_1N,SM_WS,448035.7143,36,2.40E+08
115,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_WS,NA,0,NA
115,1,1,WT,SM,NA,N,SM,N,N,1N_1N,SM_WS,NA,0,NA
115,1,1,WT,WS,12,N,WS,N,N,1N_1N,SM_WS,468928.5714,31,206666666.7
116,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_SM,NA,17,NA
116,1,1,LZ,WS,9,N,WS,N,N,1N_1N,WS_SM,408571.4286,9,6.00E+07
116,1,1,WT,SM,12,N,SM,N,N,1N_1N,WS_SM,726607.1429,4,26666666.67
116,1,1,WT,WS,NA,N,WS,N,N,1N_1N,WS_SM,NA,0,NA
117,1,1,LZ,SM,9,N,SM,N,N,1N_1N,SM_SM,448035.7143,5,3333333.333
117,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
117,1,1,WT,SM,12,N,SM,N,N,1N_1N,SM_SM,726607.1429,12,8.00E+06
117,1,1,WT,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
118,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,19,NA
118,1,1,LZ,WS,9,N,WS,N,N,1N_1N,WS_WS,408571.4286,8,53333333.33
118,1,1,WT,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,1,NA
118,1,1,WT,WS,12,N,WS,N,N,1N_1N,WS_WS,468928.5714,166,1106666667
119,2,1,LZ,SM,9,N,SM,Y,N,1N_2Y,SM_WS:SM:Y,448035.7143,119,79333333.33
119,2,1,LZ,WS,NA,N,WS,Y,N,1N_2Y,SM_WS:SM:Y,NA,0,NA
119,2,1,WT,SM,12,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,363303.5714,89,59333333.33
119,2,1,WT,WS,12,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,234464.2857,159,1.06E+08
12,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_SM,NA,36,NA
12,1,1,LZ,WS,4,N,WS,N,N,1N_1N,WS_SM,141839.2857,165,1.10E+09
12,1,1,WT,SM,7,N,SM,N,N,1N_1N,WS_SM,717321.4286,3,2.00E+07
12,1,1,WT,WS,NA,N,WS,N,N,1N_1N,WS_SM,NA,0,NA
120,2,1,LZ,SM,NA,N,SM,Y,N,1N_2Y,WS_WS:SM:Y,NA,15,NA
120,2,1,LZ,WS,9,N,WS,Y,N,1N_2Y,WS_WS:SM:Y,408571.4286,27,1.80E+07
120,2,1,WT,SM,12,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,363303.5714,71,47333333.33
120,2,1,WT,WS,12,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,234464.2857,44,29333333.33
121,1,2,LZ,SM,9,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,224017.8571,102,6.80E+07
121,1,2,LZ,WS,9,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,204285.7143,34,22666666.67
121,1,2,WT,SM,12,N,SM,N,Y,2Y_1N,WS:SM:Y_SM,726607.1429,100,66666666.67
121,1,2,WT,WS,NA,N,WS,N,Y,2Y_1N,WS:SM:Y_SM,NA,0,NA
122,1,2,LZ,SM,9,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,224017.8571,6,4.00E+07
